timestamp,sample,cement,strength,fineness,material_1,material_2,material_3,material_4,material_5,material_6,material_7,material_8,material_9,material_10,material_11,material_12,material_13,material_14,material_15
2022-01-14,220114i42,CEM I 42,52.89,21.65,14.67,3.05,0.73,4.58,25.35,0.41,0.80,2.42,12.65,14.31,2.91,14.05,1.91,1.15,0.85
2022-01-14,220114iibll32,CEM II BLL 32,40.78,18.57,14.56,3.93,0.79,4.30,18.77,0.51,9.19,3.27,17.55,10.38,2.82,9.99,1.33,1.08,1.25
2022-01-14,220114iias42,CEM II AS 42,51.08,22.98,12.74,5.46,1.02,4.16,22.30,6.29,0.69,2.20,11.60,13.98,2.45,12.28,2.43,1.19,1.09
2022-01-14,220114i52,CEM I 52,60.05,14.27,14.90,3.09,0.74,4.38,25.75,0.35,0.78,1.98,12.95,14.07,2.50,14.37,1.93,1.14,0.86
2022-01-14,220114iias52,CEM II AS 52,58.86,14.85,13.18,4.68,0.92,4.39,23.03,4.47,0.74,2.50,11.79,14.16,2.81,12.65,2.24,1.18,1.01
2022-01-17,220117iias42,CEM II AS 42,50.80,22.95,12.74,5.46,1.02,4.16,22.24,6.28,0.69,2.20,11.59,13.97,2.45,12.15,2.42,1.19,1.08
2022-01-17,220117iias52,CEM II AS 52,57.25,15.13,13.18,4.69,0.92,4.41,23.03,4.47,0.74,2.50,11.77,14.14,2.81,12.69,2.24,1.18,1.00
2022-01-17,220117i52,CEM I 52,60.58,13.94,14.90,3.07,0.74,4.38,25.71,0.35,0.78,1.98,12.96,14.04,2.49,14.30,1.94,1.14,0.86
2022-01-17,220117i42,CEM I 42,52.10,22.02,14.65,3.04,0.72,4.60,25.31,0.41,0.80,2.42,12.68,14.29,2.91,14.09,1.90,1.15,0.85
2022-01-17,220117iibll32,CEM II BLL 32,40.41,19.32,14.52,3.94,0.80,4.30,18.84,0.51,9.20,3.28,17.52,10.39,2.83,9.95,1.32,1.08,1.24
2022-01-19,220119iias42,CEM II BLL 32,51.87,22.85,12.69,5.46,1.02,4.17,22.26,6.27,0.69,2.20,11.55,14.03,2.43,12.22,2.42,1.19,1.08
2022-01-19,220119iias52,CEM II AS 52,57.04,14.96,13.13,4.69,0.92,4.40,23.09,4.47,0.74,2.49,11.76,14.21,2.81,12.63,2.25,1.19,1.00
2022-01-19,220119i42,CEM I 42,51.31,22.25,14.65,3.05,0.72,4.58,25.35,0.41,0.81,2.42,12.64,14.22,2.90,14.12,1.90,1.15,0.84
2022-01-19,220119i52,CEM I 52,60.47,14.27,14.95,3.08,0.74,4.36,25.65,0.35,0.78,1.99,12.96,14.08,2.49,14.35,1.93,1.14,0.86
2022-01-19,220119iibll32,CEM II BLL 32,39.74,19.07,14.55,3.95,0.79,4.31,18.69,0.51,9.20,3.28,17.52,10.38,2.82,9.95,1.33,1.08,1.25
2022-01-21,220121iibll32,CEM II BLL 32,40.39,18.89,14.47,3.94,0.80,4.31,18.72,0.51,9.20,3.27,17.52,10.38,2.84,10.02,1.33,1.08,1.25
2022-01-21,220121i42,CEM I 42,51.16,22.18,14.63,3.05,0.72,4.58,25.32,0.41,0.80,2.41,12.66,14.23,2.90,14.06,1.90,1.15,0.85
2022-01-21,220121iias52,CEM II AS 52,56.73,15.15,13.19,4.68,0.92,4.41,22.97,4.47,0.74,2.51,11.76,14.13,2.80,12.64,2.24,1.19,1.00
2022-01-21,220121i52,CEM I 52,60.62,13.98,14.93,3.07,0.74,4.36,25.71,0.35,0.78,1.99,12.93,14.14,2.49,14.33,1.94,1.14,0.86
2022-01-21,220121iias42,CEM II AS 42,51.82,22.71,12.73,5.44,1.02,4.17,22.27,6.28,0.69,2.21,11.54,13.97,2.45,12.20,2.42,1.19,1.09
2022-01-24,220124iibll32,CEM II BLL 32,41.16,18.35,14.53,3.93,0.80,4.31,18.81,0.51,9.17,3.27,17.54,10.35,2.83,9.98,1.33,1.08,1.25
2022-01-24,220124i42,CEM I 42,52.51,21.81,14.63,3.04,0.72,4.57,25.32,0.41,0.80,2.42,12.64,14.22,2.90,14.09,1.90,1.15,0.84
2022-01-24,220124iias52,CEM II AS 52,57.96,14.77,13.18,4.67,0.91,4.40,22.96,4.49,0.74,2.50,11.79,14.17,2.80,12.65,2.24,1.19,1.00
2022-01-24,220124i52,CEM I 52,61.79,14.23,14.90,3.08,0.74,4.37,25.68,0.35,0.78,1.98,12.96,14.07,2.49,14.28,1.94,1.14,0.86
2022-01-24,220124iias42,CEM II AS 42,51.66,22.63,12.76,5.43,1.02,4.16,22.24,6.27,0.69,2.21,11.60,14.00,2.44,12.18,2.41,1.19,1.09
2022-01-26,220126iias52,CEM II AS 52,58.23,14.90,13.26,4.66,0.92,4.39,23.03,4.50,0.74,2.50,11.87,14.02,2.80,12.58,2.24,1.19,1.00
2022-01-26,220126i52,CEM I 52,61.01,13.80,14.98,3.07,0.74,4.36,25.70,0.35,0.78,1.97,13.01,14.01,2.49,14.28,1.94,1.14,0.86
2022-01-26,220126iias42,CEM II AS 42,50.41,23.08,12.82,5.44,1.02,4.13,22.29,6.30,0.69,2.20,11.62,13.86,2.44,12.12,2.41,1.19,1.08
2022-01-26,220126iibll32,CEM II BLL 32,41.23,18.97,14.55,3.93,0.80,4.27,18.86,0.51,9.19,3.26,17.56,10.35,2.83,9.90,1.33,1.08,1.25
2022-01-26,220126i42,CEM I 42,52.28,21.96,14.70,3.05,0.73,4.56,25.31,0.41,0.80,2.40,12.75,14.12,2.90,13.95,1.91,1.15,0.84
2022-01-28,220128i52,CEM I 52,61.89,13.56,15.04,3.07,0.74,4.36,25.65,0.35,0.78,1.97,13.01,14.00,2.48,14.19,1.94,1.14,0.86
2022-01-28,220128iias42,CEM II AS 42,51.53,23.36,12.84,5.41,1.02,4.15,22.32,6.31,0.69,2.20,11.67,13.87,2.44,12.12,2.42,1.19,1.09
2022-01-28,220128iias52,CEM II AS 52,58.32,15.07,13.29,4.66,0.92,4.38,23.06,4.48,0.73,2.50,11.87,14.07,2.80,12.55,2.24,1.19,1.00
2022-01-28,220128i42,CEM I 42,52.08,22.05,14.74,3.04,0.73,4.56,25.24,0.41,0.80,2.41,12.79,14.11,2.90,13.93,1.89,1.16,0.85
2022-01-28,220128iibll32,CEM II BLL 32,40.27,19.03,14.62,3.95,0.79,4.31,18.78,0.51,9.20,3.27,17.63,10.32,2.82,9.88,1.33,1.08,1.25
2022-01-31,220131i42,CEM I 42,52.97,21.78,14.67,3.05,0.73,4.57,25.29,0.41,0.80,2.40,12.72,14.21,2.91,13.97,1.90,1.15,0.84
2022-01-31,220131i52,CEM I 52,60.54,14.18,14.99,3.07,0.74,4.37,25.70,0.35,0.78,1.98,12.99,14.02,2.49,14.26,1.94,1.14,0.86
2022-01-31,220131iias42,CEM II AS 42,51.39,23.03,12.84,5.42,1.02,4.15,22.33,6.28,0.69,2.20,11.64,13.94,2.44,12.13,2.42,1.20,1.08
2022-01-31,220131iias52,CEM II AS 52,57.96,14.75,13.29,4.66,0.92,4.36,23.05,4.49,0.74,2.50,11.82,14.05,2.81,12.58,2.23,1.19,1.00
2022-01-31,220131iibll32,CEM II BLL 32,39.81,19.50,14.62,3.95,0.77,4.30,18.74,0.51,9.17,3.27,17.57,10.33,2.81,9.95,1.32,1.08,1.24
2022-02-02,220202iias52,CEM II AS 52,57.21,15.07,13.10,4.65,0.91,4.41,22.89,4.49,0.74,2.51,11.66,14.16,2.81,12.76,2.24,1.19,1.00
2022-02-02,220202i42,CEM I 42,52.05,21.59,14.57,3.04,0.72,4.60,25.32,0.41,0.81,2.43,12.55,14.32,2.90,14.15,1.90,1.15,0.84
2022-02-02,220202iias42,CEM II AS 42,50.75,22.90,12.64,5.42,1.01,4.15,22.33,6.30,0.69,2.21,11.50,14.02,2.44,12.28,2.41,1.20,1.08
2022-02-02,220202i52,CEM I 52,60.31,14.18,14.79,3.08,0.73,4.38,25.66,0.35,0.78,2.00,12.83,14.20,2.49,14.46,1.94,1.14,0.85
2022-02-02,220202iibll32,CEM II BLL 32,40.70,18.75,14.45,3.94,0.77,4.31,18.75,0.51,9.17,3.28,17.53,10.45,2.81,10.05,1.32,1.08,1.25
2022-02-04,220204i42,CEM I 42,50.92,22.23,14.33,3.04,0.71,4.61,25.11,0.41,0.81,2.44,12.37,14.50,2.92,14.31,1.90,1.16,0.84
2022-02-04,220204i52,CEM I 52,60.10,14.02,14.55,3.07,0.73,4.42,25.66,0.35,0.78,2.01,12.63,14.38,2.49,14.68,1.94,1.14,0.85
2022-02-04,220204iibll32,CEM II BLL 32,39.79,19.01,14.28,3.93,0.76,4.33,18.76,0.51,9.21,3.29,17.35,10.58,2.79,10.19,1.33,1.08,1.24
2022-02-04,220204iias42,CEM II AS 42,50.39,23.17,12.43,5.41,1.01,4.19,22.23,6.29,0.69,2.24,11.32,14.16,2.44,12.42,2.42,1.20,1.08
2022-02-04,220204iias52,CEM II AS 52,56.68,15.58,12.87,4.67,0.91,4.44,22.93,4.51,0.74,2.52,11.53,14.37,2.80,12.94,2.24,1.19,1.00
2022-02-07,220207i52,CEM I 52,59.32,13.77,14.55,3.08,0.73,4.42,25.65,0.35,0.78,2.01,12.59,14.33,2.50,14.69,1.94,1.14,0.86
2022-02-07,220207iibll32,CEM II BLL 32,39.59,18.35,14.33,3.92,0.76,4.35,18.75,0.51,9.20,3.29,17.34,10.58,2.80,10.20,1.32,1.08,1.24
2022-02-07,220207iias52,CEM II AS 52,57.27,14.99,12.85,4.68,0.91,4.44,22.88,4.49,0.74,2.53,11.43,14.41,2.80,12.92,2.23,1.19,1.00
2022-02-07,220207iias42,CEM II AS 42,50.01,22.63,12.44,5.43,1.01,4.18,22.21,6.27,0.69,2.24,11.27,14.19,2.44,12.51,2.42,1.20,1.08
2022-02-07,220207i42,CEM I 42,50.45,22.26,14.29,3.03,0.71,4.63,25.20,0.41,0.81,2.45,12.28,14.45,2.91,14.38,1.90,1.16,0.84
2022-02-09,220209iibll32,CEM II BLL 32,39.04,18.69,14.28,3.93,0.75,4.34,18.73,0.51,9.21,3.30,17.38,10.57,2.81,10.21,1.32,1.08,1.25
2022-02-09,220209i42,CEM I 42,51.02,22.00,14.32,3.04,0.71,4.64,25.21,0.41,0.81,2.44,12.40,14.47,2.90,14.42,1.90,1.15,0.84
2022-02-09,220209iias52,CEM II AS 52,57.23,14.96,12.90,4.68,0.91,4.42,22.93,4.46,0.74,2.52,11.47,14.41,2.81,12.92,2.24,1.19,1.00
2022-02-09,220209i52,CEM I 52,58.91,14.44,14.57,3.08,0.73,4.43,25.63,0.35,0.79,2.02,12.61,14.37,2.49,14.70,1.94,1.14,0.85
2022-02-09,220209iias42,CEM II AS 42,49.53,23.08,12.41,5.47,1.00,4.19,22.21,6.25,0.69,2.22,11.31,14.24,2.45,12.46,2.41,1.19,1.08
2022-02-11,220211iias52,CEM II AS 52,57.13,14.82,12.74,4.67,0.91,4.44,22.86,4.47,0.74,2.53,11.38,14.49,2.81,13.09,2.23,1.19,1.00
2022-02-11,220211i52,CEM I 52,58.58,14.15,14.43,3.07,0.72,4.42,25.70,0.35,0.79,2.03,12.46,14.45,2.49,14.82,1.94,1.14,0.85
2022-02-11,220211iibll32,CEM II BLL 32,38.58,18.95,14.21,3.93,0.74,4.34,18.75,0.51,9.17,3.30,17.31,10.63,2.79,10.23,1.32,1.08,1.24
2022-02-11,220211iias42,CEM II AS 42,49.97,23.28,12.30,5.46,1.01,4.18,22.30,6.25,0.69,2.24,11.18,14.33,2.44,12.58,2.42,1.19,1.08
2022-02-11,220211i42,CEM I 42,49.95,21.99,14.18,3.04,0.70,4.64,25.24,0.41,0.81,2.46,12.23,14.56,2.91,14.55,1.90,1.16,0.84
2022-02-14,220214i42,CEM I 42,49.49,22.08,14.00,3.03,0.70,4.66,25.17,0.42,0.81,2.47,12.13,14.73,2.91,14.65,1.90,1.16,0.84
2022-02-14,220214iibll32,CEM II BLL 32,38.66,18.89,14.12,3.94,0.76,4.36,18.64,0.51,9.17,3.32,17.18,10.71,2.81,10.31,1.33,1.08,1.24
2022-02-14,220214iias42,CEM II AS 42,49.76,22.91,12.23,5.46,1.00,4.23,22.24,6.26,0.70,2.24,11.07,14.44,2.44,12.71,2.42,1.19,1.08
2022-02-14,220214i52,CEM I 52,58.79,13.52,14.24,3.07,0.72,4.45,25.60,0.35,0.79,2.04,12.36,14.53,2.50,14.97,1.94,1.14,0.85
2022-02-14,220214iias52,CEM II AS 52,55.48,15.20,12.66,4.67,0.90,4.47,22.79,4.45,0.75,2.55,11.31,14.58,2.82,13.13,2.23,1.19,0.99
2022-02-16,220216i52,CEM I 52,59.57,14.27,14.49,3.07,0.72,4.42,25.55,0.35,0.79,2.02,12.48,14.43,2.49,14.75,1.94,1.14,0.85
2022-02-16,220216iias42,CEM II AS 42,50.34,22.85,12.34,5.41,1.00,4.20,22.23,6.24,0.69,2.24,11.24,14.28,2.43,12.55,2.42,1.20,1.08
2022-02-16,220216i42,CEM I 42,50.62,21.81,14.20,3.04,0.71,4.63,25.15,0.41,0.81,2.45,12.26,14.54,2.90,14.50,1.90,1.16,0.84
2022-02-16,220216iibll32,CEM II BLL 32,39.07,19.10,14.17,3.92,0.77,4.34,18.78,0.51,9.20,3.30,17.30,10.66,2.82,10.28,1.33,1.08,1.25
2022-02-16,220216iias52,CEM II AS 52,56.76,14.53,12.76,4.68,0.90,4.44,22.96,4.48,0.74,2.53,11.46,14.43,2.81,13.00,2.23,1.18,1.00
2022-02-18,220218i42,CEM I 42,49.85,22.48,14.21,3.04,0.71,4.63,25.28,0.41,0.81,2.45,12.28,14.60,2.92,14.47,1.89,1.15,0.84
2022-02-18,220218iias42,CEM II AS 42,49.80,22.79,12.33,5.44,1.00,4.20,22.22,6.23,0.69,2.24,11.22,14.31,2.44,12.53,2.41,1.19,1.08
2022-02-18,220218i52,CEM I 52,60.22,13.75,14.39,3.07,0.72,4.41,25.66,0.35,0.79,2.03,12.55,14.38,2.49,14.77,1.94,1.15,0.85
2022-02-18,220218iias52,CEM II AS 52,57.60,14.43,12.77,4.69,0.91,4.45,22.85,4.47,0.74,2.53,11.40,14.45,2.81,13.05,2.23,1.19,1.00
2022-02-18,220218iibll32,CEM II BLL 32,38.87,18.84,14.24,3.93,0.78,4.34,18.69,0.51,9.21,3.30,17.26,10.63,2.82,10.24,1.33,1.08,1.25
2022-02-21,220221iias52,CEM II AS 52,56.86,15.21,12.90,4.69,0.90,4.43,22.82,4.47,0.74,2.52,11.50,14.38,2.81,12.90,2.23,1.18,1.00
2022-02-21,220221iibll32,CEM II BLL 32,39.16,19.01,14.29,3.93,0.77,4.33,18.74,0.51,9.17,3.29,17.32,10.57,2.80,10.17,1.32,1.08,1.25
2022-02-21,220221iias42,CEM II AS 42,49.82,22.95,12.41,5.45,1.01,4.18,22.24,6.24,0.69,2.21,11.31,14.16,2.44,12.48,2.41,1.19,1.08
2022-02-21,220221i52,CEM I 52,59.10,14.39,14.61,3.07,0.72,4.41,25.54,0.35,0.78,2.01,12.64,14.31,2.49,14.60,1.94,1.14,0.85
2022-02-21,220221i42,CEM I 42,50.24,22.48,12.36,3.04,0.71,4.64,0.81,1.15,1.90,2.44,14.33,2.90,0.84,25.16,14.45,0.41,14.39
2022-02-23,220223iibll32,CEM II BLL 32,40.28,19.02,14.16,3.92,0.77,4.35,18.67,0.51,9.17,3.29,17.20,10.58,2.81,10.27,1.32,1.08,1.25
2022-02-23,220223i52,CEM I 52,59.34,13.98,14.46,3.06,0.72,4.43,25.57,0.35,0.78,2.03,12.51,14.40,2.49,14.73,1.93,1.14,0.85
2022-02-23,220223iias52,CEM II AS 52,56.78,14.74,12.86,4.67,0.90,4.44,22.97,4.46,0.74,2.53,11.43,14.44,2.79,13.00,2.23,1.18,1.00
2022-02-23,220223iias42,CEM II AS 42,49.49,22.97,12.32,5.45,1.00,4.21,22.30,6.26,0.69,2.23,11.21,14.24,2.44,12.51,2.42,1.19,1.08
2022-02-23,220223i42,CEM I 42,50.38,22.45,14.22,3.04,0.71,4.62,25.22,0.41,0.81,2.45,12.28,14.56,2.92,14.51,1.90,1.15,0.84
2022-02-25,220225i52,CEM I 52,60.87,14.15,14.70,3.08,0.73,4.39,25.72,0.35,0.78,1.99,12.78,14.15,2.49,14.50,1.93,1.14,0.86
2022-02-25,220225iias52,CEM II AS 52,58.09,15.15,12.98,4.69,0.91,4.40,22.92,4.45,0.74,2.49,11.59,14.28,2.80,12.78,2.23,1.19,1.00
2022-02-25,220225iias42,CEM II AS 42,51.12,22.94,12.57,5.45,1.01,4.18,22.27,6.27,0.69,2.21,11.51,14.11,2.44,12.31,2.41,1.19,1.08
2022-02-25,220225iibll32,CEM II BLL 32,39.38,18.73,14.47,3.93,0.77,4.32,18.72,0.51,9.14,3.27,17.41,10.51,2.80,10.08,1.33,1.08,1.25
2022-02-25,220225i42,CEM I 42,50.11,22.33,14.48,3.03,0.71,4.60,25.24,0.41,0.80,2.43,12.51,14.35,2.91,14.17,1.90,1.15,0.84
2022-02-28,220228i52,CEM I 52,61.83,13.86,14.80,3.07,0.73,4.37,25.62,0.35,0.78,1.99,12.81,14.14,2.49,14.45,1.95,1.14,0.85
2022-02-28,220228iibll32,CEM II BLL 32,40.54,19.05,14.47,3.93,0.77,4.32,18.77,0.51,9.17,3.28,17.45,10.44,2.80,10.04,1.33,1.07,1.25
2022-02-28,220228iias42,CEM II AS 42,50.40,23.02,12.60,5.45,1.02,4.15,22.21,6.26,0.69,2.19,11.48,13.99,2.43,12.24,2.41,1.19,1.08
2022-02-28,220228iias52,CEM II AS 52,57.94,15.04,13.08,4.69,0.92,4.39,22.89,4.47,0.74,2.51,11.66,14.20,2.79,12.72,2.23,1.18,1.00
2022-02-28,220228i42,CEM I 42,51.37,22.23,14.50,3.03,0.72,4.60,25.33,0.41,0.80,2.43,12.51,14.30,2.91,14.18,1.90,1.16,0.84
2022-03-02,220302i42,CEM I 42,50.49,22.78,14.42,3.03,0.72,4.59,25.27,0.41,0.81,2.43,12.47,14.36,2.91,14.28,1.90,1.15,0.84
2022-03-02,220302iias42,CEM II AS 42,50.86,22.88,12.55,5.46,1.01,4.16,22.19,6.24,0.69,2.22,11.36,14.11,2.44,12.34,2.42,1.19,1.08
2022-03-02,220302i52,CEM I 52,60.37,14.34,14.71,3.08,0.73,4.39,25.63,0.35,0.78,2.00,12.73,14.18,2.49,14.53,1.94,1.14,0.85
2022-03-02,220302iias52,CEM II AS 52,58.04,15.19,13.02,4.69,0.92,4.42,22.94,4.45,0.74,2.51,11.62,14.25,2.80,12.78,2.23,1.19,1.00
2022-03-02,220302iibll32,CEM II BLL 32,39.70,19.61,14.40,3.95,0.75,4.32,18.67,0.51,9.16,3.28,17.45,10.50,2.79,10.07,1.32,1.08,1.25
2022-03-04,220304iibll32,CEM II BLL 32,40.94,18.43,14.53,3.94,0.76,4.32,18.77,0.51,9.18,3.27,17.58,10.39,2.78,10.00,1.32,1.08,1.25
2022-03-04,220304iias42,CEM II AS 42,51.26,23.09,12.70,5.46,1.02,4.13,22.26,6.21,0.69,2.19,11.52,13.96,2.45,12.16,2.42,1.18,1.08
2022-03-04,220304i52,CEM I 52,61.46,14.05,14.87,3.08,0.74,4.37,25.55,0.35,0.78,1.98,12.88,14.10,2.48,14.36,1.93,1.13,0.86
2022-03-04,220304iias52,CEM II AS 52,58.13,15.38,13.19,4.68,0.92,4.40,22.97,4.44,0.73,2.49,11.75,14.14,2.81,12.65,2.24,1.18,1.00
2022-03-04,220304i42,CEM I 42,52.44,21.77,14.61,3.03,0.72,4.57,25.27,0.41,0.80,2.41,12.63,14.21,2.89,14.06,1.90,1.15,0.84
2022-03-07,220307i52,CEM I 52,60.34,14.37,14.75,3.06,0.73,4.37,25.63,0.35,0.78,1.99,12.79,14.14,2.48,14.49,1.93,1.14,0.85
2022-03-07,220307iibll32,CEM II BLL 32,40.46,19.08,14.48,3.94,0.76,4.33,18.72,0.51,9.17,3.27,17.42,10.48,2.78,10.04,1.32,1.08,1.25
2022-03-07,220307i42,CEM I 42,52.67,21.41,14.51,3.03,0.72,4.57,25.27,0.41,0.81,2.43,12.51,14.30,2.90,14.16,1.90,1.15,0.84
2022-03-07,220307iias42,CEM II AS 42,50.46,22.72,12.60,5.45,1.01,4.16,22.28,6.25,0.69,2.21,11.43,14.09,2.44,12.30,2.42,1.19,1.08
2022-03-07,220307iias52,CEM II AS 52,57.38,14.88,13.06,4.69,0.91,4.40,22.91,4.47,0.74,2.50,11.67,14.27,2.80,12.75,2.23,1.18,1.00
2022-03-09,220309i52,CEM I 52,62.16,14.20,15.00,3.07,0.74,4.36,25.70,0.35,0.78,1.97,13.00,13.96,2.48,14.15,1.94,1.14,0.85
2022-03-09,220309i42,CEM I 42,52.41,21.92,14.70,3.04,0.72,4.57,25.16,0.41,0.80,2.40,12.72,14.12,2.90,13.99,1.89,1.15,0.84
2022-03-09,220309iias42,CEM II AS 42,51.35,22.67,12.77,5.46,1.02,4.15,22.24,6.25,0.68,2.17,11.66,13.93,2.43,12.10,2.41,1.18,1.08
2022-03-09,220309iibll32,CEM II BLL 32,41.44,18.72,14.60,3.93,0.75,4.30,18.80,0.51,9.18,3.25,17.55,10.34,2.78,9.87,1.32,1.08,1.24
2022-03-09,220309iias52,CEM II AS 52,58.67,15.30,13.24,4.68,0.92,4.39,22.95,4.45,0.73,2.48,11.84,14.08,2.79,12.52,2.23,1.18,1.00
2022-03-11,220311i52,CEM I 52,61.17,13.99,14.93,3.07,0.74,4.35,25.65,0.35,0.77,1.96,12.96,13.95,2.49,14.24,1.93,1.14,0.86
2022-03-11,220311iias42,CEM II AS 42,51.36,22.94,12.78,5.47,1.02,4.15,22.24,6.23,0.68,2.19,11.58,13.85,2.44,12.08,2.41,1.18,1.09
2022-03-11,220311iibll32,CEM II BLL 32,40.41,18.98,14.57,3.93,0.74,4.29,18.76,0.51,9.16,3.26,17.58,10.36,2.77,9.86,1.32,1.07,1.25
2022-03-11,220311iias52,CEM II AS 52,59.06,15.16,13.20,4.68,0.92,4.39,22.81,4.45,0.73,2.48,11.83,14.09,2.81,12.57,2.23,1.18,1.00
2022-03-11,220311i42,CEM I 42,52.72,21.66,14.71,3.04,0.72,4.56,25.22,0.41,0.80,2.41,12.69,14.13,2.90,13.99,1.90,1.15,0.84
2022-03-14,220314iibll32,CEM II BLL 32,40.69,18.64,14.45,3.92,0.74,4.30,18.77,0.51,9.18,3.27,17.49,10.44,2.76,10.02,1.32,1.07,1.25
2022-03-14,220314iias42,CEM II AS 42,50.24,23.10,12.58,5.49,1.01,4.16,22.23,6.23,0.69,2.18,11.46,14.05,2.44,12.20,2.41,1.18,1.08
2022-03-14,220314i42,CEM I 42,51.98,21.72,14.58,3.03,0.72,4.61,25.20,0.41,0.80,2.41,12.57,14.25,2.89,14.15,1.90,1.15,0.84
2022-03-14,220314iias52,CEM II AS 52,58.12,15.38,13.09,4.70,0.91,4.39,22.89,4.45,0.73,2.49,11.69,14.18,2.79,12.72,2.23,1.18,1.00
2022-03-14,220314i52,CEM I 52,61.42,14.15,14.82,3.07,0.73,4.39,25.56,0.35,0.78,1.99,12.83,14.04,2.49,14.36,1.94,1.14,0.86
